Field Name,Option
Input Type,Voice
Input Type,Text
Input Type,Manual
Input Type,Form
Input Type,Shortcut
Tags,loop
Tags,fatherhood
Tags,grief
Tags,resistance
Tags,shipping
Tags,control
Tags,freedom
Tags,legacy
Tags,clarity
Tags,connection
Tags,burnout
Tags,shift
Source,Telegram
Source,Fillout
Source,Email
Source,Siri
Source,Notion
Source,Manual
Project Type,Friction Unblock
Project Type,Family Strategy
Project Type,Build System
Project Type,Creative
Project Type,Operational
Project Type,Reflection-Driven
Status,Planned
Status,In Progress
Status,Complete
Status,On Hold
Status,To Do
Status,Done
Status,Skipped
Status,Postponed
Visual Priority,High
Visual Priority,Medium
Visual Priority,Low
Month,January
Month,February
Month,March
Month,April
Month,May
Month,June
Month,July
Month,August
Month,September
Month,October
Month,November
Month,December
Reflection Prompt Tags,resistance
Reflection Prompt Tags,grief
Reflection Prompt Tags,mission
Reflection Prompt Tags,clarity
Reflection Prompt Tags,control
Reflection Prompt Tags,presence
Reflection Prompt Tags,rebuilding
Reflection Prompt Tags,freedom
Reflection Prompt Source,Legacy
Reflection Prompt Source,Rilke
Reflection Prompt Source,Second Mountain
Reflection Prompt Source,Original
Reflection Prompt Source,Inner Game
